months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,policy_bind_date_year,policy_bind_date_month,policy_bind_date_day,incident_date_year,incident_date_month,incident_date_day,policy_to_incident_days,combined_text,fraud_reported
63,24,427484,OH,250/500,2000,1620.89,0,469621,FEMALE,High School,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,NC,7,1,NO,2,0,NO,6120,1020,1020,4080,2015,1994,1,8,2015,2,3,7696,movie 8621 best ridge hillsdale toyota corolla,0
343,52,629663,IL,500/1000,1000,1053.02,0,602402,FEMALE,Associate,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,2,1,NO,0,2,NO,47630,12990,4330,30310,2005,2002,1,21,2015,2,16,4774,7331 sky hwy arlington toyota corolla,1
193,40,311783,OH,100/300,500,1233.85,0,457463,FEMALE,College,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,23,3,NO,2,1,YES,64260,0,14280,49980,1999,2005,2,25,2015,2,28,3655,chess 3706 4th hwy hillsdale ford escape,0
261,46,156636,IN,100/300,1000,870.55,0,465631,MALE,PhD,unmarried,0,-49400,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,19,1,NO,0,3,NO,80280,13380,13380,53520,2013,2000,9,10,2015,1,27,5252,camping 1532 washington st springfield chevrolet tahoe,0
133,34,467841,IN,500/1000,500,1074.07,0,440833,FEMALE,JD,husband,70900,-61100,Parked Car,Rear Collision,Minor Damage,,WV,8,1,NO,2,0,YES,4200,420,840,2940,2013,1994,10,11,2015,1,28,7414,8492 andromedia ridge northbend jeep wrangler,0
254,40,349658,IN,100/300,500,1927.87,0,609317,MALE,MD,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,10,1,YES,0,1,NO,43280,0,5410,37870,1996,1994,6,7,2015,1,21,7533,yachting 6260 5th lane arlington honda civic,1
141,30,681486,IN,500/1000,1000,1347.04,0,430665,MALE,High School,own-child,0,-82100,Parked Car,Rear Collision,Minor Damage,,SC,6,1,NO,1,2,YES,6480,540,1080,4860,1996,2007,3,24,2015,1,22,2861,sale  6516 solo drive northbend honda civic,0
169,38,283052,IL,100/300,1000,1555.94,0,459878,MALE,PhD,own-child,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,12,3,NO,1,3,YES,79080,6590,13180,59310,2012,2005,1,7,2015,1,25,3670,skydiving 3508 washington st riverwood mercedes c300,0
142,30,951543,IN,250/500,2000,1616.58,0,447979,MALE,JD,husband,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,13,3,YES,0,3,YES,63600,6360,12720,44520,2010,2002,7,9,2015,2,4,4593,polo 1128 maple lane hillsdale dodge ram,0
208,36,467106,OH,100/300,2000,1209.41,5000000,476185,MALE,JD,wife,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,15,3,YES,0,1,NO,62810,11420,11420,39970,1999,1995,10,8,2015,2,16,7071,6681 texas ridge columbus nissan ultima,0
446,61,259792,IL,100/300,1000,1232.79,0,441967,FEMALE,High School,unmarried,49900,-62100,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,3,1,YES,2,0,YES,70500,7050,14100,49350,2007,1999,4,7,2015,1,7,5754,reading 5812 weaver ave springfield suburu forrestor,0
154,37,241562,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,2,1,NO,0,3,NO,79530,14460,7230,57840,2000,2010,1,28,2015,1,9,1807,dancing 9610 cherokee st columbus accura mdx,0
140,31,388671,OH,250/500,2000,1554.86,6000000,608758,FEMALE,JD,wife,59000,0,Parked Car,Rear Collision,Minor Damage,,WV,2,1,YES,1,2,NO,6120,680,680,4760,2002,1997,5,1,2015,2,16,6500,4585 francis ave arlington honda civic,1
440,55,379882,IL,250/500,500,1275.62,0,602258,FEMALE,Associate,other-relative,0,-56200,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,18,3,YES,2,1,NO,61400,6140,6140,49120,1995,2012,11,7,2015,1,23,807,reading 3039 oak hwy riverwood nissan ultima,0
203,38,155724,IL,250/500,500,1394.43,0,606352,FEMALE,Masters,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,7,1,NO,0,1,YES,55440,0,6160,49280,1999,1998,2,20,2015,1,31,6189,skydiving 5071 flute ridge columbus nissan maximum,1
126,28,596914,IN,250/500,500,1508.9,0,472814,FEMALE,JD,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,3,4,NO,0,1,NO,67800,11300,11300,45200,2011,1992,1,5,2015,1,1,8397,skydiving 5333 mlk lane northbend ford f150,0
194,41,238196,IL,250/500,500,1203.81,0,613119,MALE,JD,not-in-family,52500,-51300,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,17,3,NO,0,2,NO,95900,13700,20550,61650,1999,1993,2,15,2015,2,6,8026,3555 francis ridge springfield saab 95,0
237,40,736882,IN,100/300,1000,883.31,0,434733,MALE,College,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,6,1,NO,1,3,NO,77880,7080,14160,56640,2005,1996,2,2,2015,2,24,6962,kayaking 2502 apache hwy riverwood ford escape,0
206,42,779156,IL,500/1000,1000,1230.76,0,470488,MALE,High School,unmarried,0,-74200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,VA,2,1,NO,1,1,NO,78980,7180,14360,57440,1997,1993,10,10,2015,1,3,7755,yachting 7628 4th lane hillsdale saab 92x,1
177,33,563837,IL,100/300,1000,1609.67,0,470128,MALE,College,wife,0,-13200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,22,1,NO,1,3,NO,82800,20700,13800,48300,2004,2002,12,30,2015,1,20,4404,yachting 4907 andromedia drive springfield jeep grand cherokee,1
214,40,118236,OH,100/300,1000,1648.0,0,608405,MALE,JD,not-in-family,57700,-43500,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,17,1,NO,1,0,YES,44220,8040,4020,32160,2000,2000,8,15,2015,2,4,5286,6638 tree drive northbrook accura mdx,0
254,46,871432,IL,250/500,2000,1472.43,0,619794,MALE,MD,husband,0,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,3,3,NO,1,3,YES,63580,5780,11560,46240,2004,2004,7,15,2015,1,10,3831,basketball 7825 1st ridge arlington volkswagen jetta,0
460,57,396590,OH,100/300,2000,1567.37,0,602514,FEMALE,JD,husband,62500,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,10,1,NO,2,3,NO,58300,5830,11660,40810,2014,1997,11,7,2015,2,15,6309,skydiving 5865 sky lane riverwood nissan maximum,1
20,37,722747,IL,250/500,500,1482.14,0,613936,FEMALE,Associate,husband,33000,-43600,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,15,3,NO,2,1,NO,60750,6750,6750,47250,2003,2011,9,2,2015,2,22,1269,reading 2048 3rd ridge arlington suburu forrestor,0
212,39,167466,OH,100/300,1000,1255.35,0,454176,FEMALE,JD,not-in-family,60300,-58900,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,22,2,NO,0,3,YES,59300,11860,5930,41510,2008,2010,3,17,2015,2,14,1795,skydiving 3929 oak drive riverwood dodge ram,0
211,37,483088,OH,250/500,2000,1295.63,4000000,430878,FEMALE,PhD,not-in-family,42200,-33800,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,22,3,YES,1,0,NO,53460,5940,5940,41580,2009,2011,1,6,2015,1,30,1485,skydiving 9816 britain st northbend honda crv,0
99,32,130930,IN,100/300,1000,1058.21,3000000,618655,MALE,JD,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,17,1,YES,1,1,NO,41130,4570,4570,31990,1999,2014,7,23,2015,1,10,171,golf 2376 sky ridge arlington dodge ram,0
102,28,810189,OH,250/500,500,1075.41,0,445648,MALE,MD,wife,55200,0,Single Vehicle Collision,Side Collision,Total Loss,Police,PA,6,1,NO,1,0,NO,73400,7340,7340,58720,1996,1999,8,29,2015,2,15,5649,reading 8021 flute ave northbend dodge neon,0
137,35,645723,OH,500/1000,500,1107.07,0,478868,FEMALE,High School,husband,0,-45300,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,21,1,NO,0,0,YES,3300,600,600,2100,2008,1991,5,5,2015,2,4,8676,movie 7405 oak st hillsdale saab 92x,0
40,39,448642,IN,500/1000,1000,1248.25,4000000,605692,FEMALE,College,own-child,0,-33300,Parked Car,Rear Collision,Minor Damage,Police,VA,8,1,NO,0,2,NO,8760,1460,1460,5840,2013,2001,3,28,2015,2,1,5058,sale hiking 3376 5th drive northbrook bmw 3 series,0
150,31,651948,IN,500/1000,1000,1354.5,0,456602,MALE,Masters,husband,52800,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,6,3,NO,0,3,YES,64800,6480,12960,45360,2000,1994,9,28,2015,1,2,7401,6838 flute lane arlington suburu forrestor,1
91,31,268833,IN,100/300,1000,1338.4,4000000,431937,FEMALE,High School,own-child,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,19,1,NO,1,0,NO,60570,6730,6730,47110,2011,1999,9,18,2015,2,25,5639,polo 7299 apache st hillsdale nissan maximum,0
177,34,226330,IL,100/300,2000,1057.77,0,477382,FEMALE,JD,unmarried,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,22,3,NO,1,1,NO,18000,2250,2250,13500,2009,2013,1,23,2015,2,16,754,2003 maple hwy riverwood audi a3,0
208,36,812025,IL,250/500,500,1153.49,0,432711,MALE,Associate,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,16,3,YES,1,0,YES,50500,10100,5050,35350,2004,2000,6,18,2015,2,22,5362,5862 apache ridge arlington accura tl,0
163,33,529112,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,11,3,YES,1,1,NO,77110,0,14020,63090,2014,1990,1,8,2015,2,18,9172,polo 7476 4th st northbend honda civic,0
232,44,221854,OH,250/500,2000,1181.64,0,454552,MALE,College,wife,25800,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,22,1,NO,1,1,YES,55400,5540,11080,38780,2002,1994,10,3,2015,2,8,7433,exercise 1320 flute lane northbend jeep grand cherokee,1
24,33,649082,IL,500/1000,1000,1922.84,0,431277,FEMALE,High School,wife,0,-45200,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,0,1,NO,2,1,NO,46800,4680,9360,32760,2002,1996,1,19,2015,1,24,6945,skydiving 5061 francis ave northbend jeep wrangler,0
241,45,596785,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,5,1,NO,2,2,NO,91650,14100,14100,63450,2011,2014,3,4,2015,2,15,348,basketball 2100 francis drive northbrook accura tl,0
241,43,922937,IN,250/500,1000,935.77,0,437422,MALE,Associate,own-child,0,-36000,Vehicle Theft,Rear Collision,Trivial Damage,Police,PA,21,1,NO,1,0,YES,7150,1300,650,5200,2003,1992,12,11,2015,2,20,8106,golf 8920 best ave northbend volkswagen jetta,0
129,28,818413,OH,500/1000,1000,1377.94,0,442540,MALE,Masters,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,23,1,NO,2,3,NO,44640,9920,4960,29760,2005,1990,2,23,2015,2,21,9129,4272 oak ridge springfield toyota camry,0
355,47,939631,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,19,3,NO,2,1,NO,62800,6280,6280,50240,2003,1990,3,18,2015,1,10,9064,kayaking 8907 tree ave arlington audi a3,1
332,47,994538,IL,100/300,2000,1083.01,0,448882,MALE,MD,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,22,4,YES,2,0,NO,71760,11040,11040,49680,2010,1991,11,1,2015,1,31,8492,paintball 9239 washington ridge arlington jeep grand cherokee,1
123,31,756459,IN,250/500,500,1326.0,0,438546,FEMALE,Associate,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,13,1,NO,1,2,NO,72120,12020,12020,48080,2009,2005,8,5,2015,2,17,3483,basketball 2914 oak drive northbrook mercedes ml350,0
38,28,970607,OH,250/500,1000,1019.44,0,437387,MALE,Masters,not-in-family,0,-39700,Vehicle Theft,Rear Collision,Trivial Damage,,NC,17,1,NO,2,1,NO,7200,1440,720,5040,2004,1995,3,28,2015,2,10,7259,yachting 9742 5th ridge springfield bmw x5,0
164,38,319232,IL,250/500,2000,1269.76,0,467743,FEMALE,PhD,not-in-family,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,4,1,NO,1,3,YES,90000,18000,9000,63000,2015,1997,10,31,2015,1,17,6287,yachting 4614 mlk ave hillsdale ford fusion,0
55,35,490596,IL,500/1000,500,1198.44,8000000,438923,MALE,MD,wife,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,WV,9,1,NO,0,3,NO,3080,560,560,1960,1998,2011,2,4,2015,1,14,1440,polo 4496 pine lane columbus nissan ultima,0
271,40,873114,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,wife,71200,0,Parked Car,Rear Collision,Minor Damage,,NY,6,1,NO,0,0,NO,3080,560,280,2240,2012,1995,12,7,2015,2,19,7014,camping 1365 francis ave hillsdale audi a3,0
13,21,990998,IN,100/300,1000,1556.31,0,463809,MALE,Associate,not-in-family,0,-75000,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,19,3,YES,2,0,YES,94930,8630,8630,77670,2014,2006,10,18,2015,1,19,3015,golf 9580 mlk ave hillsdale accura rsx,0
9,30,258265,IL,100/300,1000,1073.83,0,438877,FEMALE,High School,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,12,1,NO,0,0,NO,85690,15580,15580,54530,2011,1994,4,10,2015,2,2,7603,dancing 5806 embaracadero st northbrook bmw 3 series,0
95,30,331170,IL,250/500,2000,1370.92,0,442206,MALE,College,unmarried,48900,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,22,1,YES,0,3,NO,34800,3480,6960,24360,1999,1995,3,26,2015,2,14,7265,1437 3rd lane arlington accura mdx,0
88,30,372912,IN,100/300,1000,1437.88,0,614383,FEMALE,College,husband,42800,-51200,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,3,1,NO,2,0,YES,56000,14000,0,42000,2003,1992,8,5,2015,2,25,8239,reading 9488 best drive northbrook chevrolet malibu,0
427,60,953334,IN,100/300,1000,1178.61,7000000,446608,MALE,MD,own-child,0,-54400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NY,23,1,YES,1,2,YES,90860,12980,19470,58410,2004,2005,12,3,2015,2,20,3366,9214 texas drive springfield volkswagen jetta,1
354,48,534982,IL,500/1000,2000,1526.11,5000000,469650,FEMALE,Masters,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,12,1,NO,2,3,YES,90240,15040,15040,60160,1995,2003,4,8,2015,1,3,4288,sale exercise 8081 flute ridge columbus chevrolet malibu,0
172,33,100804,IL,100/300,1000,1459.96,6000000,600127,FEMALE,High School,wife,41300,-42000,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,15,3,NO,0,1,NO,41690,7580,7580,26530,1999,2012,2,24,2015,1,7,1048,reading 8214 flute st northbend saab 95,0
325,47,900628,IN,500/1000,1000,1690.27,0,438830,FEMALE,Associate,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,11,1,YES,0,3,NO,72930,6630,6630,59670,2006,2006,2,5,2015,1,14,3265,hiking 6550 andromedia st springfield dodge ram,1
101,27,557218,IL,500/1000,500,982.7,6000000,440865,FEMALE,College,unmarried,30800,-43700,Parked Car,Rear Collision,Minor Damage,,SC,9,1,NO,1,0,NO,5170,940,470,3760,2001,1997,11,23,2015,1,13,6260,7930 texas ave arlington toyota camry,0
478,64,346002,OH,250/500,500,835.02,0,602433,FEMALE,Associate,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,17,3,NO,1,1,NO,33930,0,3770,30160,1998,1990,8,20,2015,2,2,8932,reading 8538 texas lane hillsdale bmw x6,0
295,48,678849,OH,500/1000,1000,1332.07,0,609409,FEMALE,MD,unmarried,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,20,2,NO,2,1,YES,86060,13240,13240,59580,2002,1992,2,22,2015,1,28,8376,polo 1815 cherokee drive hillsdale volkswagen passat,0
250,43,687755,IL,500/1000,2000,1539.06,0,434150,MALE,Masters,other-relative,37800,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,SC,2,1,NO,0,3,NO,64200,10700,10700,42800,2002,1990,3,28,2015,1,20,9064,sale exercise 4214 mlk ridge hillsdale ford f150,0
253,43,582480,IL,500/1000,500,1187.01,7000000,613436,FEMALE,Associate,unmarried,46300,-33000,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,9,1,NO,0,1,NO,3840,640,640,2560,2014,1991,8,7,2015,2,2,8580,exercise 2986 mlk drive northbrook chevrolet tahoe,0
22,25,824540,OH,250/500,2000,1053.24,0,603527,FEMALE,College,other-relative,51100,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,0,4,YES,1,0,NO,77130,8570,17140,51420,1995,2008,3,13,2015,1,5,2489,movie 7551 britain lane arlington accura mdx,0
285,42,545506,IN,100/300,500,1389.13,0,452942,MALE,Associate,not-in-family,63100,-79400,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,13,1,NO,0,3,NO,52700,5270,10540,36890,2005,1991,3,20,2015,1,23,8710,golf 5474 weaver hwy hillsdale toyota corolla,0
134,36,469426,OH,250/500,1000,1497.41,0,613842,MALE,PhD,husband,14100,-44500,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,17,3,NO,2,0,YES,77200,9650,9650,57900,1996,1990,7,15,2015,1,25,8960,kayaking 7701 tree st northbrook ford escape,0
198,36,521854,IN,250/500,1000,1096.39,0,603848,MALE,High School,own-child,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,11,3,NO,1,3,YES,49410,5490,5490,38430,2015,2001,2,16,2015,1,26,5092,kayaking 5584 britain lane springfield audi a3,0
59,40,444422,IL,250/500,2000,782.23,0,449221,MALE,College,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,0,3,NO,0,2,NO,51570,5730,11460,34380,2010,2011,9,28,2015,2,6,1227,golf 6605 tree ave springfield bmw x5,0
163,37,812989,IN,250/500,500,1178.95,6000000,441370,FEMALE,JD,own-child,0,-67300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,20,1,YES,2,3,YES,49400,4940,9880,34580,2005,2004,3,6,2015,1,16,3968,dancing 7327 lincoln drive springfield jeep wrangler,0
22,29,354105,IN,250/500,2000,1238.62,6000000,463993,MALE,MD,other-relative,0,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,14,1,NO,2,3,NO,70800,7080,14160,49560,2012,1994,6,8,2015,2,14,7556,yachting 8576 andromedia st springfield accura mdx,1
85,30,740384,IN,500/1000,1000,1454.42,0,459588,MALE,Associate,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,19,1,YES,0,1,YES,74280,12380,12380,49520,2006,1993,10,29,2015,1,31,7764,reading 6250 1st ridge springfield suburu forrestor,1
27,27,919875,IN,100/300,2000,1118.76,0,470866,FEMALE,College,own-child,0,-55800,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,23,1,NO,1,3,NO,61560,6840,6840,47880,2008,2002,6,29,2015,2,26,4625,dancing 9078 francis ridge northbrook ford fusion,0
169,36,607351,IN,250/500,500,1616.26,0,617804,MALE,High School,unmarried,50700,-57600,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NY,0,3,NO,2,3,NO,77440,14080,7040,56320,2004,1998,12,11,2015,2,9,5904,yachting 8212 rock ave springfield dodge neon,0
35,35,930032,IL,100/300,2000,1117.42,0,446158,FEMALE,PhD,not-in-family,0,-51900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NC,23,3,NO,2,2,NO,53190,5910,11820,35460,1996,2002,9,10,2015,2,14,4540,kayaking 7909 andromedia hwy hillsdale volkswagen jetta,0
128,28,438817,OH,500/1000,1000,986.53,0,472720,FEMALE,High School,other-relative,62700,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,11,1,NO,0,2,YES,101860,18520,18520,64820,2007,2007,11,16,2015,2,16,2649,polo 7819 oak st columbus honda crv,0
271,42,486676,OH,100/300,500,1105.49,0,463181,FEMALE,Associate,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,12,2,NO,2,3,NO,68310,12420,6210,49680,2003,2011,8,15,2015,2,20,1285,sleeping 8006 maple hwy hillsdale audi a3,1
199,37,982871,IN,250/500,500,1262.08,0,474615,MALE,JD,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,4,1,NO,0,3,NO,60170,10940,10940,38290,2011,1997,7,27,2015,1,8,6374,3422 flute st columbus nissan pathfinder,1
289,43,777533,OH,500/1000,1000,1387.51,0,609390,FEMALE,Associate,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,19,3,YES,1,3,NO,68580,7620,7620,53340,2010,2002,12,21,2015,1,11,4404,sale  1102 apache hwy riverwood jeep wrangler,0
128,31,526296,IL,100/300,500,1045.12,0,615311,FEMALE,High School,other-relative,0,-28300,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,2,3,NO,0,2,NO,69930,0,15540,54390,2013,1993,8,3,2015,1,19,7839,5532 francis lane springfield ford escape,1
66,28,167231,IN,100/300,2000,1472.77,0,471366,MALE,Associate,husband,0,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,0,1,NO,2,1,NO,48290,8780,8780,30730,1995,1994,1,26,2015,2,17,7692,exercise 2850 washington st springfield nissan maximum,0
178,38,987524,IL,250/500,500,1381.14,0,472253,FEMALE,College,wife,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,10,3,NO,0,3,NO,57200,5200,10400,41600,2011,2014,11,13,2015,2,22,101,camping 5678 lincoln drive northbrook bmw m5,0
78,27,309323,OH,500/1000,500,1060.88,0,613931,MALE,JD,other-relative,0,-66500,Parked Car,Rear Collision,Trivial Damage,Police,SC,4,1,NO,0,3,NO,6050,550,1100,4400,2009,1992,2,29,2015,2,3,8375,skydiving 8876 1st st northbend volkswagen passat,0
222,40,373731,IL,100/300,1000,1226.78,0,468433,MALE,JD,unmarried,49600,-49200,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,17,2,YES,2,0,NO,81500,16300,8150,57050,2013,2012,12,24,2015,1,22,759,camping 4567 pine ave springfield bmw 3 series,0
421,57,110122,IN,250/500,2000,1206.26,0,459955,FEMALE,Associate,own-child,69900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NC,22,3,YES,0,0,NO,78500,15700,7850,54950,2015,2002,4,2,2015,1,31,4687,7552 3rd st arlington audi a3,0
411,56,574637,IL,250/500,1000,1595.28,0,479320,FEMALE,College,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,23,3,NO,0,0,NO,38610,3510,3510,31590,2007,1992,7,30,2015,1,6,8195,exercise 8049 4th st springfield volkswagen passat,0
246,43,805806,IN,250/500,1000,1267.4,6000000,454139,MALE,JD,husband,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,0,1,NO,2,1,NO,50700,5070,5070,40560,2006,2013,1,16,2015,2,9,754,basketball 3771 4th st hillsdale accura rsx,0
236,39,830878,IN,250/500,1000,1151.39,4000000,604555,FEMALE,Masters,wife,0,-63900,Parked Car,Rear Collision,Minor Damage,Police,NY,17,1,YES,0,0,NO,8700,870,1740,6090,2003,1996,11,3,2015,1,1,6633,reading 2832 andromedia lane springfield accura rsx,0
316,46,941807,OH,100/300,500,1219.94,7000000,431968,FEMALE,Masters,wife,0,-51000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,13,1,NO,0,1,YES,63100,6310,12620,44170,2000,2011,6,25,2015,2,27,1343,paintball 6259 lincoln hwy arlington accura tl,0
48,44,297816,IL,100/300,2000,1400.74,0,611118,MALE,College,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,23,3,YES,0,2,NO,87300,17460,17460,52380,2013,1997,2,3,2015,1,21,6561,sale  8245 4th hwy arlington jeep wrangler,0
233,43,898519,OH,250/500,1000,954.18,0,437470,FEMALE,College,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,17,3,NO,2,3,YES,42500,8500,4250,29750,2000,2000,5,21,2015,2,17,5385,dancing 8995 1st ave northbrook nissan pathfinder,0
41,25,958857,IN,100/300,1000,1226.83,0,607763,FEMALE,College,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,12,3,YES,2,0,NO,45120,0,5640,39480,2011,1992,1,15,2015,1,7,8393,exercise 7238 2nd st columbus accura mdx,1
136,33,804608,OH,250/500,1000,855.14,0,458582,FEMALE,PhD,not-in-family,37900,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NC,23,1,YES,0,1,YES,30700,3070,6140,21490,2015,2002,4,12,2015,1,4,4650,paintball 6741 oak ridge northbrook toyota corolla,0
222,41,260845,OH,100/300,2000,1055.53,0,441992,FEMALE,MD,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,7,1,NO,0,2,NO,61290,6810,6810,47670,1995,1998,11,11,2015,2,8,5933,6751 pine ridge northbrook honda civic,1
85,31,873384,IL,250/500,2000,1234.69,9000000,613471,FEMALE,MD,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,1,2,NO,2,1,NO,74400,14880,7440,52080,2003,2004,3,10,2015,2,6,3985,paintball 7733 britain lane arlington bmw m5,1
1,29,357949,OH,500/1000,500,854.58,0,612826,FEMALE,JD,other-relative,52200,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,15,1,NO,2,3,YES,86790,7890,23670,55230,2003,2006,5,24,2015,1,1,3144,paintball 7178 best drive northbrook honda crv,0
279,45,598308,IN,250/500,2000,1333.97,6000000,620819,FEMALE,MD,unmarried,61100,-30700,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,21,3,NO,1,0,NO,61050,11100,11100,38850,2011,1992,1,28,2015,1,12,8385,6981 weaver st arlington dodge ram,1
137,34,413978,IN,250/500,1000,1333.35,0,441716,MALE,PhD,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,0,3,NO,0,0,NO,78650,21450,7150,50050,2012,2000,6,4,2015,1,13,5336,5846 weaver drive springfield nissan pathfinder,0
20,21,918037,OH,250/500,1000,1390.29,0,479408,FEMALE,Masters,other-relative,0,-41200,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,PA,14,1,NO,0,0,NO,62900,12580,6290,44030,2006,2005,1,30,2015,1,14,3636,polo 5855 apache st northbrook accura mdx,0
